Kategori,İşlem,Tutar
Tescil Harçları - Limited ve Anonim Şirket,Şube Açılış Harcı,35.354,50 TL
Tescil Harçları - Limited ve Anonim Şirket,Değişiklik Harcı,8.598,80 TL
Tescil Harçları - Limited ve Anonim Şirket,Temsilci Harcı,8.598,80 TL
Tescil Harçları - Limited ve Anonim Şirket,Kayıt Silme Harcı,2.707,50 TL
Tescil Harçları - Limited ve Anonim Şirket,Merkez Nakli Harcı,35.354,50 TL
Tescil Harçları - Gerçek Kişi (Şahıs Firması),Kuruluş Harcı,5.466,10 TL
Tescil Harçları - Gerçek Kişi (Şahıs Firması),Şube Açılış Harcı,5.466,10 TL
Tescil Harçları - Gerçek Kişi (Şahıs Firması),Değişiklik Harcı,2.707,50 TL
Tescil Harçları - Gerçek Kişi (Şahıs Firması),Temsilci Harcı,2.707,50 TL
Tescil Harçları - Gerçek Kişi (Şahıs Firması),Kayıt Silme Harcı,1.053,00 TL
Tescil Harçları - Gerçek Kişi (Şahıs Firması),Merkez Nakli Harcı,5.466,10 TL
Tescil Harçları - Kooperatifler,Kuruluş Harcı,İstisna
Tescil Harçları - Kooperatifler,Şube Açılış Harcı,5.466,10 TL
Tescil Harçları - Kooperatifler,Değişiklik Harcı,2.707,50 TL
Tescil Harçları - Kooperatifler,Temsilci Harcı,2.707,50 TL
Tescil Harçları - Kooperatifler,Kayıt Silme Harcı,1.053,00 TL
Tescil Harçları - Kooperatifler,Merkez Nakli Harcı,5.466,10 TL
Tescil Harçları - Komandit ve Kollektif Şirket,Kuruluş Harcı,15.688,40 TL
Tescil Harçları - Komandit ve Kollektif Şirket,Şube Açılış Harcı,15.688,40 TL
Tescil Harçları - Komandit ve Kollektif Şirket,Değişiklik Harcı,3.881,60 TL
Tescil Harçları - Komandit ve Kollektif Şirket,Temsilci Harcı,3.881,60 TL
Tescil Harçları - Komandit ve Kollektif Şirket,Kayıt Silme Harcı,1.526,20 TL
Tescil Harçları - Komandit ve Kollektif Şirket,Merkez Nakli Harcı,15.688,40 TL
TTSG İlan Ücretleri,Şirket ilanları (Kelimesi),5,53 TL
TTSG İlan Ücretleri,Şirket Kuruluş ilanları (Kelimesi),2,48 TL
TTSG İlan Ücretleri,Kooperatif ilanları (Kelimesi),2,85 TL
TTSG İlan Ücretleri,Kooperatif Kuruluş ilanları (Kelimesi),1,78 TL
TTSG İlan Ücretleri,Kadın/Engelli Girişimi Kooperatifleri İlanları,Ücretsiz
TTSG İlan Ücretleri,Gerçek Kişi Ticarete Başlama (Maktu),708,00 TL
TTSG İlan Ücretleri,Teknogirişim Destekli Şirket Kuruluşu,0,01 TL
TTSG İlan Ücretleri,Terk, Resen ve Düzeltme İlanları,Ücretsiz
Belge Harçları,Belge sureti Harcı,266,30 TL
Belge Harçları,Durum Belgesi Harcı,895,80 TL
Belge Harçları,İflas Konkordato Belgesi Harcı,895,80 TL
Belge Harçları,Merkez Nakli Belgesi Harcı,895,80 TL
Belge Harçları,Ticaret Sicil Tasdiknamesi Harcı,895,80 TL
Belge Harçları,Yetki Belgesi (Diğer) Harcı,895,80 TL
Hizmet Ücretleri,Birleşme Ücreti,3.440,00 TL
Hizmet Ücretleri,Bölünme Ücreti,3.440,00 TL
Hizmet Ücretleri,Pay Devri Ücreti,3.440,00 TL
Hizmet Ücretleri,Sermaye Artırımı Ücreti,3.440,00 TL
Hizmet Ücretleri,Tür(Nevi) Değişikliği Ücreti,3.440,00 TL
Hizmet Ücretleri,Temsil İç Yönergesi Ücreti,3.010,00 TL
Hizmet Ücretleri,Genel Kurul İç Yönergesi Ücreti,2.160,00 TL
Hizmet Ücretleri,Kuruluş Tasdik Ücreti,2.160,00 TL
Hizmet Ücretleri,Anonim ve Limited Şirket ile Kooperatif Kuruluş Defter Tasdiki,2.760,00 TL
Hizmet Ücretleri,Tescilsiz Genel Kurul Kararı Ücreti,2.160,00 TL
Hizmet Ücretleri,Huzurda İmza Beyannamesi Ücreti,1.720,00 TL
Hizmet Ücretleri,İlan Giderleri Ücreti,250,00 TL
